POLYLINE,3
LINE,869
40521209.9442,3256886.3857
40521208.9442,3256885.3857
40521208.9442,3256884.3857
40521208.9442,3256883.3857
40521208.9442,3256882.3857
40521207.9442,3256882.3857
40521207.9442,3256881.3857
40521207.9442,3256880.3857
40521206.9442,3256880.3857
40521206.9442,3256879.3857
40521205.9442,3256879.3857
40521205.9442,3256878.3857
40521205.9442,3256877.3857
40521204.9442,3256877.3857
40521204.9442,3256876.3857
40521203.9442,3256876.3857
40521203.9442,3256875.3857
40521202.9442,3256875.3857
40521202.9442,3256874.3857
40521201.9442,3256874.3857
40521201.9442,3256873.3857
40521200.9442,3256873.3857
40521200.9442,3256872.3857
40521199.9442,3256872.3857
40521199.9442,3256871.3857
40521199.9442,3256870.3857
40521199.9442,3256869.3857
40521198.9442,3256868.3857
40521198.9442,3256867.3857
40521198.9442,3256866.3857
40521198.9442,3256865.3857
40521198.9442,3256864.3857
40521198.9442,3256863.3857
40521198.9442,3256862.3857
40521198.9442,3256861.3857
40521198.9442,3256860.3857
40521198.9442,3256859.3857
40521198.9442,3256858.3857
40521198.9442,3256857.3857
40521198.9442,3256856.3857
40521197.9442,3256855.3857
40521197.9442,3256854.3857
40521197.9442,3256853.3857
40521197.9442,3256852.3857
40521197.9442,3256851.3857
40521197.9442,3256850.3857
40521197.9442,3256849.3857
40521197.9442,3256848.3857
40521197.9442,3256847.3857
40521197.9442,3256846.3857
40521197.9442,3256845.3857
40521196.9442,3256844.3857
40521196.9442,3256843.3857
40521196.9442,3256842.3857
40521196.9442,3256841.3857
40521196.9442,3256840.3857
40521196.9442,3256839.3857
40521196.9442,3256838.3857
40521196.9442,3256837.3857
40521196.9442,3256836.3857
40521196.9442,3256835.3857
40521196.9442,3256834.3857
40521195.9442,3256833.3857
40521195.9442,3256832.3857
40521195.9442,3256831.3857
40521196.9442,3256830.3857
40521196.9442,3256829.3857
40521196.9442,3256828.3857
40521196.9442,3256827.3857
40521196.9442,3256826.3857
40521196.9442,3256825.3857
40521196.9442,3256824.3857
40521196.9442,3256823.3857
40521196.9442,3256822.3857
40521196.9442,3256821.3857
40521196.9442,3256820.3857
40521196.9442,3256819.3857
40521196.9442,3256818.3857
40521196.9442,3256817.3857
40521196.9442,3256816.3857
40521196.9442,3256815.3857
40521196.9442,3256814.3857
40521196.9442,3256813.3857
40521196.9442,3256812.3857
40521196.9442,3256811.3857
40521196.9442,3256810.3857
40521196.9442,3256809.3857
40521196.9442,3256808.3857
40521196.9442,3256807.3857
40521196.9442,3256806.3857
40521196.9442,3256805.3857
40521196.9442,3256804.3857
40521196.9442,3256803.3857
40521196.9442,3256802.3857
40521196.9442,3256801.3857
40521196.9442,3256800.3857
40521196.9442,3256799.3857
40521196.9442,3256798.3857
40521196.9442,3256797.3857
40521197.9442,3256796.3857
40521197.9442,3256795.3857
40521197.9442,3256794.3857
40521197.9442,3256793.3857
40521197.9442,3256792.3857
40521197.9442,3256791.3857
40521197.9442,3256790.3857
40521197.9442,3256789.3857
40521197.9442,3256788.3857
40521197.9442,3256787.3857
40521197.9442,3256786.3857
40521198.9442,3256786.3857
40521198.9442,3256785.3857
40521198.9442,3256784.3857
40521198.9442,3256783.3857
40521199.9442,3256782.3857
40521199.9442,3256781.3857
40521200.9442,3256780.3857
40521200.9442,3256779.3857
40521201.9442,3256778.3857
40521201.9442,3256777.3857
40521201.9442,3256776.3857
40521202.9442,3256776.3857
40521202.9442,3256775.3857
